image_id,greenery_ratio,brightness,sky_ratio,visual_complexity,building_regularity,cluster
1,0.1498779296875,0.5516116536458333,0.242999267578125,0.1851025390625,0.1253456221198156,2
2,0.1339453125,0.4818503370098039,0.24256591796875,0.11470458984375,0.2607913669064748,1
3,0.01339111328125,0.5124636278339461,0.003729248046875,0.1170068359375,0.2320441988950276,0
4,0.10960693359375,0.5128092352175245,0.383978271484375,0.19648193359375,0.1552734375,2
5,0.00350830078125,0.651921807981005,0.304534912109375,0.1656494140625,0.1299897645854657,0
6,0.04510498046875,0.3841704676011029,0.007470703125,0.20878173828125,0.1661721068249258,0
7,0.02008056640625,0.4614978553921569,0.03792724609375,0.135693359375,0.2357512953367875,0
8,0.23017822265625,0.3706886488970588,0.035784912109375,0.22078125,0.1610921501706484,2
9,0.03062255859375,0.6973218539368873,0.757696533203125,0.08439453125,0.4962216624685138,1
10,0.0359619140625,0.5379407169117647,0.019000244140625,0.1143359375,0.2629695885509839,0
11,0.08947021484375,0.6806961837469363,0.84755859375,0.08186279296875,0.3409742120343839,1
12,0.00539794921875,0.5840578373927696,0.845263671875,0.05662841796875,0.1741741741741741,1
13,0.04489501953125,0.5472926528033089,0.60224609375,0.09844970703125,0.0916030534351145,1
14,0.00910888671875,0.5010951382506127,0.193304443359375,0.10839111328125,0.3162583518930957,1
15,0.034296875,0.4676970071231617,0.04024658203125,0.1449072265625,0.1962025316455696,0
16,0.1760205078125,0.6828739755667892,0.717376708984375,0.11400146484375,0.0896785109983079,1
17,0.24534423828125,0.491845827588848,0.010394287109375,0.1767822265625,0.0641158221302999,2
18,0.129296875,0.3510351849724265,0.009027099609375,0.15236328125,0.2541806020066889,0
19,0.022890625,0.501958984375,0.016656494140625,0.08590576171875,0.2741935483870967,0
20,0.01064697265625,0.5804261737898284,0.260467529296875,0.11952392578125,0.2160953800298062,1
21,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,1
22,0.19654052734375,0.5769176336550246,0.031903076171875,0.08570068359375,0.1452282157676348,3
23,0.1015966796875,0.5322869944852942,0.02288818359375,0.10648681640625,0.3290203327171904,1
24,0.02344482421875,0.6406074888939951,0.22626953125,0.06872802734375,0.5458015267175572,1
25,0.04433837890625,0.5314366096047795,0.004315185546875,0.1517578125,0.3785310734463277,0
26,0.0037255859375,0.5677117417279413,0.60609130859375,0.08953369140625,0.1742574257425742,1
27,0.00594482421875,0.4985143133425245,0.436090087890625,0.10741455078125,0.247011952191235,1
28,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,3
29,0.0166943359375,0.5821240234375,0.011474609375,0.068310546875,0.2861271676300578,1
30,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
31,0.0121875,0.419989870557598,0.152978515625,0.199619140625,0.1490947816826411,0
32,0.43279296875,0.3709102902879902,0.012078857421875,0.24670654296875,0.1426481346013167,2
33,0.03860595703125,0.4808486902573529,0.017681884765625,0.1632958984375,0.1279683377308707,0
34,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,1
35,0.06020263671875,0.6277407035079656,0.3183837890625,0.0801123046875,0.2730844793713163,1
36,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,1
37,0.04621826171875,0.4762141544117647,0.027703857421875,0.15986572265625,0.2702265372168285,0
38,0.01014892578125,0.5342551413143383,0.0508544921875,0.11281005859375,0.1215559157212317,0
39,0.02332275390625,0.5236830097273285,0.351312255859375,0.09393798828125,0.1257485029940119,1
40,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
41,0.010419921875,0.4806026252297794,0.07705078125,0.1133642578125,0.1641509433962264,0
42,0.12484619140625,0.5090681583180147,0.228228759765625,0.1074609375,0.1979522184300341,3
43,0.0055419921875,0.5005321212469362,0.20687255859375,0.12485107421875,0.1318840579710145,0
44,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,1
45,0.008310546875,0.545504700903799,0.2269775390625,0.11257568359375,0.2680577849117175,1
46,0.03530517578125,0.617373965992647,0.4219482421875,0.0770166015625,0.1778425655976676,1
47,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
48,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,1
49,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,1
50,0.02739501953125,0.4874330193014706,0.138287353515625,0.1565380859375,0.1981865284974093,0
51,0.12961181640625,0.5889478113511029,0.046533203125,0.1506494140625,0.5462822458270106,1
52,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,3
53,0.029443359375,0.5581110026041667,0.4963134765625,0.09455322265625,0.127906976744186,1
54,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,1
55,0.00798583984375,0.560034304151348,0.186712646484375,0.12431640625,0.1346153846153846,0
56,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
57,0.02944091796875,0.4907067631740196,0.2230224609375,0.14802490234375,0.131621187800963,0
58,0.1871630859375,0.5827371036305147,0.53358154296875,0.10029541015625,0.2857142857142857,1
59,0.098623046875,0.5767904411764706,0.36337890625,0.07467529296875,0.3005952380952381,1
60,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,3
61,0.02258544921875,0.6187792873008578,0.504156494140625,0.0685205078125,0.3736654804270463,1
62,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,1
63,0.13037353515625,0.5774736232383578,0.01043701171875,0.09798828125,0.1605691056910569,3
64,0.11131591796875,0.543097043504902,0.003240966796875,0.0961328125,0.1943887775551102,3
65,0.0027001953125,0.5354040000765932,0.248321533203125,0.06872314453125,0.2453531598513011,1
66,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
67,0.17597900390625,0.2677438821231617,0.00848388671875,0.1906591796875,0.1389261744966443,2
68,0.04983154296875,0.5820833237591911,0.165496826171875,0.09439453125,0.3947368421052631,1
69,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,1
70,0.137861328125,0.4881471832873774,0.160955810546875,0.21411376953125,0.1524390243902439,2
71,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,1
72,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,3
73,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,0
74,0.0229443359375,0.6350007850796568,0.53118896484375,0.079921875,0.1107954545454545,1
75,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,1
76,0.01845947265625,0.5319945906096814,0.44415283203125,0.0929736328125,0.2612419700214132,1
77,0.43279296875,0.3709102902879902,0.012078857421875,0.24670654296875,0.1426481346013167,2
78,0.01227294921875,0.6069082988664215,0.350299072265625,0.05700439453125,0.4017857142857143,1
