zone_id,greenery_mean,luminance_mean,charm_mean,cluster_id
bordeaux,0.8235455751419067,43.06953430175781,0.1946430057287216,2
grenoble,4.013649940490723,51.91498947143555,0.208263486623764,1
lyon,0.3134521842002868,40.07766342163086,0.2188654243946075,2
marseille,0.8584228157997131,47.62419128417969,0.148037314414978,2
nantes,2.976411819458008,47.76274490356445,0.1554766148328781,2
nice,3.3527541160583496,49.15105056762695,0.1600734740495681,0
paris_zone_01,2.836216688156128,43.88039016723633,0.1731014996767044,1
paris_zone_02,2.8984639644622803,51.406394958496094,0.1448373347520828,3
paris_zone_03,0.4875061810016632,42.16334915161133,0.2246521860361099,1
pau,1.0784261226654053,52.12835693359375,0.1740831136703491,1
ref_lille,2.204241275787353,45.27865982055664,0.214455097913742,1
rennes,8.3055419921875,49.53664016723633,0.1216003745794296,3
strasbourg,2.3188376426696777,47.07834243774414,0.1662602573633194,1
toulouse,0.0620039626955986,52.96136093139648,0.2139990180730819,0
