image_id,greenery_ratio,brightness,sky_ratio,visual_complexity,building_regularity,image_filename
1,0.1498779296875,0.5516116536458333,0.242999267578125,0.1851025390625,0.1253456221198156,001.jpg
2,0.1339453125,0.4818503370098039,0.24256591796875,0.11470458984375,0.2607913669064748,002.jpg
3,0.01339111328125,0.5124636278339461,0.003729248046875,0.1170068359375,0.2320441988950276,003.jpg
4,0.10960693359375,0.5128092352175245,0.383978271484375,0.19648193359375,0.1552734375,004.jpg
5,0.00350830078125,0.651921807981005,0.304534912109375,0.1656494140625,0.1299897645854657,005.jpg
6,0.04510498046875,0.3841704676011029,0.007470703125,0.20878173828125,0.1661721068249258,006.jpg
7,0.02008056640625,0.4614978553921569,0.03792724609375,0.135693359375,0.2357512953367875,007.jpg
8,0.23017822265625,0.3706886488970588,0.035784912109375,0.22078125,0.1610921501706484,008.jpg
9,0.03062255859375,0.6973218539368873,0.757696533203125,0.08439453125,0.4962216624685138,009.jpg
10,0.0359619140625,0.5379407169117647,0.019000244140625,0.1143359375,0.2629695885509839,010.jpg
11,0.08947021484375,0.6806961837469363,0.84755859375,0.08186279296875,0.3409742120343839,011.jpg
12,0.00539794921875,0.5840578373927696,0.845263671875,0.05662841796875,0.1741741741741741,012.jpg
13,0.04489501953125,0.5472926528033089,0.60224609375,0.09844970703125,0.0916030534351145,013.jpg
14,0.00910888671875,0.5010951382506127,0.193304443359375,0.10839111328125,0.3162583518930957,014.jpg
15,0.034296875,0.4676970071231617,0.04024658203125,0.1449072265625,0.1962025316455696,015.jpg
16,0.1760205078125,0.6828739755667892,0.717376708984375,0.11400146484375,0.0896785109983079,016.jpg
17,0.24534423828125,0.491845827588848,0.010394287109375,0.1767822265625,0.0641158221302999,017.jpg
18,0.129296875,0.3510351849724265,0.009027099609375,0.15236328125,0.2541806020066889,018.jpg
19,0.022890625,0.501958984375,0.016656494140625,0.08590576171875,0.2741935483870967,019.jpg
20,0.01064697265625,0.5804261737898284,0.260467529296875,0.11952392578125,0.2160953800298062,020.jpg
21,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,021.jpg
22,0.19654052734375,0.5769176336550246,0.031903076171875,0.08570068359375,0.1452282157676348,022.jpg
23,0.1015966796875,0.5322869944852942,0.02288818359375,0.10648681640625,0.3290203327171904,023.jpg
24,0.02344482421875,0.6406074888939951,0.22626953125,0.06872802734375,0.5458015267175572,024.jpg
25,0.04433837890625,0.5314366096047795,0.004315185546875,0.1517578125,0.3785310734463277,025.jpg
26,0.0037255859375,0.5677117417279413,0.60609130859375,0.08953369140625,0.1742574257425742,026.jpg
27,0.00594482421875,0.4985143133425245,0.436090087890625,0.10741455078125,0.247011952191235,027.jpg
28,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,028.jpg
29,0.0166943359375,0.5821240234375,0.011474609375,0.068310546875,0.2861271676300578,029.jpg
30,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,030.jpg
31,0.0121875,0.419989870557598,0.152978515625,0.199619140625,0.1490947816826411,031.jpg
32,0.43279296875,0.3709102902879902,0.012078857421875,0.24670654296875,0.1426481346013167,032.jpg
33,0.03860595703125,0.4808486902573529,0.017681884765625,0.1632958984375,0.1279683377308707,033.jpg
34,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,034.jpg
