zone_id,score_final,similarity,greenery_mean,luminance_mean,charm_mean,explain,weighted_explain,sim_weight,greenery_weight,luminance_weight,charm_weight
ref_lille,0.572386632443945,0.9999999,1.132055163383484,45.27944946289063,0.223479613661766,🌿 quasi moins verdure (+0.00) ; ☀️ quasi moins luminosité (+0.00) ; ✨ quasi moins charme (+0.00),🎯 Re-rank pondéré (similarité IA 1.000). 🌿 verdure: +0.00 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.5,0.4,0.05,0.05
paris_zone_02,0.45795571077791203,0.95974886,2.330755710601806,48.94429016113281,0.1909532099962234,🌿 un peu plus verdure (+1.20) ; ☀️ nettement plus luminosité (+3.66) ; ✨ quasi moins charme (-0.03),🎯 Re-rank pondéré (similarité IA 0.960). 🌿 verdure: +1.20 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.5,0.4,0.05,0.05
paris_zone_01,0.2376587079840784,0.9785543,1.1442123651504517,42.30830001831055,0.1847984939813614,🌿 quasi plus verdure (+0.01) ; ☀️ nettement moins luminosité (-2.97) ; ✨ quasi moins charme (-0.04),🎯 Re-rank pondéré (similarité IA 0.979). 🌿 verdure: +0.01 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.5,0.4,0.05,0.05
