image_id,greenery_ratio,brightness,sky_ratio,visual_complexity,building_regularity,image_filename,luminance,target_score,cluster,score_cluster
1,0.1498779296875,0.5516116536458333,0.242999267578125,0.1851025390625,0.1253456221198156,001.jpg,0.39730546061197913,0.24335930172031012,2,45
2,0.1339453125,0.4818503370098039,0.24256591796875,0.11470458984375,0.2607913669064748,002.jpg,0.36220812748927694,0.1953231572738133,2,45
3,0.01339111328125,0.5124636278339461,0.003729248046875,0.1170068359375,0.2320441988950276,003.jpg,0.25809643794041054,0.10879196778666148,3,75
4,0.10960693359375,0.5128092352175245,0.383978271484375,0.19648193359375,0.1552734375,004.jpg,0.4483937533509498,0.24696931774662992,2,45
5,0.00350830078125,0.651921807981005,0.304534912109375,0.1656494140625,0.1299897645854657,005.jpg,0.47822836004519,0.21282557068452945,0,80
6,0.04510498046875,0.3841704676011029,0.007470703125,0.20878173828125,0.1661721068249258,006.jpg,0.19582058536305144,0.12150936330647799,1,60
7,0.02008056640625,0.4614978553921569,0.03792724609375,0.135693359375,0.2357512953367875,007.jpg,0.24971255074295343,0.11148078920100261,3,75
8,0.23017822265625,0.3706886488970588,0.035784912109375,0.22078125,0.1610921501706484,008.jpg,0.20323678050321692,0.20141303624672194,3,75
9,0.03062255859375,0.6973218539368873,0.757696533203125,0.08439453125,0.4962216624685138,009.jpg,0.7275091935700062,0.2705094408686511,3,75
10,0.0359619140625,0.5379407169117647,0.019000244140625,0.1143359375,0.2629695885509839,010.jpg,0.27847048052619483,0.12234318648037956,3,75
11,0.08947021484375,0.6806961837469363,0.84755859375,0.08186279296875,0.3409742120343839,011.jpg,0.7641273887484681,0.3237141788271989,2,45
12,0.00539794921875,0.5840578373927696,0.845263671875,0.05662841796875,0.1741741741741741,012.jpg,0.7146607546338848,0.28193174771738655,3,75
13,0.04489501953125,0.5472926528033089,0.60224609375,0.09844970703125,0.0916030534351145,013.jpg,0.5747693732766544,0.2583953931859003,3,75
14,0.00910888671875,0.5010951382506127,0.193304443359375,0.10839111328125,0.3162583518930957,014.jpg,0.34719979080499386,0.13257585847643794,1,60
15,0.034296875,0.4676970071231617,0.04024658203125,0.1449072265625,0.1962025316455696,015.jpg,0.25397179457720587,0.1246686599788254,3,75
16,0.1760205078125,0.6828739755667892,0.717376708984375,0.11400146484375,0.0896785109983079,016.jpg,0.7001253422755821,0.36429078190415215,3,75
17,0.24534423828125,0.491845827588848,0.010394287109375,0.1767822265625,0.0641158221302999,017.jpg,0.25112005734911147,0.2275305813516146,3,75
18,0.129296875,0.3510351849724265,0.009027099609375,0.15236328125,0.2541806020066889,018.jpg,0.18003114229090073,0.12878580296569142,3,75
19,0.022890625,0.501958984375,0.016656494140625,0.08590576171875,0.2741935483870967,019.jpg,0.2593077392578125,0.10264114320816534,1,60
20,0.01064697265625,0.5804261737898284,0.260467529296875,0.11952392578125,0.2160953800298062,020.jpg,0.4204468515433517,0.17473277683311006,3,75
21,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,021.jpg,0.35514479693244483,0.16347537562641856,3,75
22,0.19654052734375,0.5769176336550246,0.031903076171875,0.08570068359375,0.1452282157676348,022.jpg,0.3044103549134498,0.20299766804486644,3,75
23,0.1015966796875,0.5322869944852942,0.02288818359375,0.10648681640625,0.3290203327171904,023.jpg,0.2775875890395221,0.1400690375003398,3,75
24,0.02344482421875,0.6406074888939951,0.22626953125,0.06872802734375,0.5458015267175572,024.jpg,0.4334385100719975,0.14191878651329332,0,80
25,0.04433837890625,0.5314366096047795,0.004315185546875,0.1517578125,0.3785310734463277,025.jpg,0.26787589757582725,0.11738416574819815,3,75
26,0.0037255859375,0.5677117417279413,0.60609130859375,0.08953369140625,0.1742574257425742,026.jpg,0.5869015251608456,0.23673184014633084,3,75
27,0.00594482421875,0.4985143133425245,0.436090087890625,0.10741455078125,0.247011952191235,027.jpg,0.46730220061657474,0.1860805248712564,3,75
28,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,028.jpg,0.3224961847043505,0.21022921075595305,3,75
29,0.0166943359375,0.5821240234375,0.011474609375,0.068310546875,0.2861271676300578,029.jpg,0.29679931640625,0.11044685354949424,3,75
30,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,030.jpg,0.2323276558670343,0.1177418317606806,0,80
31,0.0121875,0.419989870557598,0.152978515625,0.199619140625,0.1490947816826411,031.jpg,0.286484193091299,0.1444830271932555,3,75
32,0.43279296875,0.3709102902879902,0.012078857421875,0.24670654296875,0.1426481346013167,032.jpg,0.1914945738549326,0.2847915121755914,3,75
33,0.03860595703125,0.4808486902573529,0.017681884765625,0.1632958984375,0.1279683377308707,033.jpg,0.24926528751148894,0.1350108437315085,1,60
34,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,034.jpg,0.4941652113970588,0.2149241730438779,3,75
35,0.06020263671875,0.6277407035079656,0.3183837890625,0.0801123046875,0.2730844793713163,035.jpg,0.4730622462852328,0.2020199662019615,3,75
36,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,036.jpg,0.35514479693244483,0.16347537562641856,3,75
37,0.04621826171875,0.4762141544117647,0.027703857421875,0.15986572265625,0.2702265372168285,037.jpg,0.25195900591681986,0.12422139786379509,3,75
38,0.01014892578125,0.5342551413143383,0.0508544921875,0.11281005859375,0.1215559157212317,038.jpg,0.29255481675091916,0.13148791715949448,3,75
39,0.02332275390625,0.5236830097273285,0.351312255859375,0.09393798828125,0.1257485029940119,039.jpg,0.43749763279335174,0.1905409020366895,1,60
40,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,040.jpg,0.2323276558670343,0.1177418317606806,3,75
41,0.010419921875,0.4806026252297794,0.07705078125,0.1133642578125,0.1641509433962264,041.jpg,0.27882670323988973,0.12195640726883326,3,75
42,0.12484619140625,0.5090681583180147,0.228228759765625,0.1074609375,0.1979522184300341,042.jpg,0.36864845904181986,0.19909482583622454,3,75
43,0.0055419921875,0.5005321212469362,0.20687255859375,0.12485107421875,0.1318840579710145,043.jpg,0.3537023399203431,0.1554795418897858,2,45
44,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,044.jpg,0.4941652113970588,0.2149241730438779,3,75
45,0.008310546875,0.545504700903799,0.2269775390625,0.11257568359375,0.2680577849117175,045.jpg,0.3862411199831495,0.15353002497083806,3,75
46,0.03530517578125,0.617373965992647,0.4219482421875,0.0770166015625,0.1778425655976676,046.jpg,0.5196611040900735,0.21960557570126266,3,75
47,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,047.jpg,0.2323276558670343,0.1177418317606806,3,75
48,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,048.jpg,0.5957441932827818,0.269695141373947,0,80
49,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,049.jpg,0.4941652113970588,0.2149241730438779,3,75
50,0.02739501953125,0.4874330193014706,0.138287353515625,0.1565380859375,0.1981865284974093,050.jpg,0.3128601864085478,0.14759104671367818,3,75
51,0.12961181640625,0.5889478113511029,0.046533203125,0.1506494140625,0.5462822458270106,051.jpg,0.3177405072380514,0.15444258768751953,2,45
52,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,052.jpg,0.3224961847043505,0.21022921075595305,3,75
53,0.029443359375,0.5581110026041667,0.4963134765625,0.09455322265625,0.127906976744186,053.jpg,0.5272122395833334,0.22878218644016476,3,75
54,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,054.jpg,0.35514479693244483,0.16347537562641856,3,75
55,0.00798583984375,0.560034304151348,0.186712646484375,0.12431640625,0.1346153846153846,055.jpg,0.3733734753178615,0.16394546885310615,3,75
56,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,056.jpg,0.2323276558670343,0.1177418317606806,1,60
