cluster,greenery_ratio,luminance,visual_complexity,building_regularity
0,0.02990447998046875,0.2738071476556117,0.13946940104166666,0.18044266083768465
1,0.051494204872532895,0.4848447481043199,0.1002415064761513,0.2652796105066523
2,0.23930419921875,0.26821382260790055,0.209666748046875,0.1353110625012857
3,0.16890014648437499,0.31627098442526425,0.08594207763671875,0.15023958187191525
