zone_id,score_final,similarity,greenery_mean,luminance_mean,charm_mean,explain,weighted_explain,sim_weight,greenery_weight,luminance_weight,charm_weight
grenoble,0.7707165186239187,0.976702,4.013649940490723,51.91498947143555,0.208263486623764,🌿 nettement plus verdure (+2.88) ; ☀️ beaucoup plus luminosité (+6.64) ; ✨ quasi moins charme (-0.02),🎯 Re-rank pondéré (similarité IA 0.977). 🌿 verdure: +1.18 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.4,0.3,0.2,0.1
paris_zone_01,0.5796582483573319,0.9789402,2.836216688156128,43.88039016723633,0.1731014996767044,🌿 un peu plus verdure (+1.70) ; ☀️ un peu moins luminosité (-1.40) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré (similarité IA 0.979). 🌿 verdure: +0.00 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.4,0.3,0.2,0.1
pau,0.20279169091076288,0.97494537,1.0784261226654053,52.12835693359375,0.1740831136703491,🌿 quasi moins verdure (-0.05) ; ☀️ beaucoup plus luminosité (+6.85) ; ✨ quasi moins charme (-0.05),🎯 Re-rank pondéré (similarité IA 0.975). 🌿 verdure: -1.76 vs ref 👉 Favorisé car priorité = 🧠 similarité IA.,0.4,0.3,0.2,0.1
